num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,cat_1,cat_2,cat_3,cat_4,cat_5,binary_label,multiclass_label
59.93428306022466,47.23471397657631,62.953770762013846,80.46059712816052,45.31693250553328,45.317260861016386,81.58425631014782,65.34869458305818,40.610512281300956,60.85120087171929,40.73164614375075,40.68540492859486,54.839245431320684,11.73439510684404,15.501643349739346,Y,Y,W,V,Z,0,A
38.754249415180546,29.743377593311525,56.28494665190548,31.83951848957578,21.75392597329417,79.31297537843108,45.48447399026929,51.35056409375848,21.505036275730866,39.11234550949635,52.21845179419732,26.980128451553945,57.51396036691344,37.9872262016239,44.166125004134464,X,Z,V,X,V,0,D
37.96586775541206,87.04556369017875,49.730055505241324,28.84578142088199,66.45089824206377,25.583127000579555,54.17727190009511,10.806597522404488,23.43627902203139,53.93722471738247,64.76933159990821,53.42736562379941,47.68703435223519,43.977926088214225,20.42956019265145,X,V,Z,X,W,1,A
35.60311583210583,40.78722458080425,71.1424445243783,56.872365791369226,14.73919689274532,56.4816793878959,42.29835439167367,36.461559993880826,62.23352577681736,70.61999044991902,68.62560238232398,33.21564953554723,43.81575248297571,56.62526862807128,69.51090254244718,Y,W,Y,W,W,1,A
40.4165152430942,46.286820466723654,27.873300519879436,26.075867518386584,66.25051644788397,77.12480057141646,48.55979756839332,70.07065795784048,57.23272050095268,37.09760490789751,57.227912110168276,80.76073132931938,49.283479217800966,81.29287311628012,-2.394902081794889,V,W,W,W,Z,1,D
66.43805008750448,51.74094136476342,44.01985299068265,51.835215530710045,10.248621707982146,45.60656224324976,57.14225143023493,79.55788089483032,39.63459563452705,33.830127942136244,39.96485912830927,68.30804235404148,56.57502219319369,39.404795924659226,60.26534866226712,Y,X,Z,X,W,0,A
51.941550986960806,69.37289981065778,35.95893812245295,43.44675706804463,42.15783693735685,20.72970103735763,55.922405541291525,55.221105443597786,50.102269132849216,45.308257332497064,21.692585158991715,41.58709354469282,43.14570966946461,33.95445461556762,46.77428576667982,X,X,W,Y,Z,1,A
58.08101713629077,87.7237180242106,53.49155625663678,55.15100781445528,48.511081684676654,11.624575694019171,49.46972249101566,51.204604198820526,99.26484224970572,46.15278070437755,56.03094684667225,49.305764605895135,26.62643924760936,72.85645629030041,65.03866065373549,W,W,X,Y,W,1,B
65.82063894086093,31.81225090410522,78.05588621872198,21.962978744154384,61.73714187600541,93.80911251619958,30.189273497386232,38.67404540794456,51.993027301752825,39.93048691767601,18.986731378677348,51.371259496120544,28.753925725477902,59.47184861270363,31.61151531532394,Y,Y,W,Z,Y,1,B
80.99868810035079,34.334934153275256,43.55876967588649,66.27034434739339,25.382713671320897,54.54919869208259,76.14285508564856,17.85033530877545,53.692677170646085,55.19765588496847,65.6364574355462,25.26098578243836,23.590867738314472,60.43883131233795,55.93969346466372,Z,V,X,Z,X,0,D
55.00985700691753,56.928964189939514,36.399505568430186,54.64507394322007,55.86144946597362,35.71297163947264,87.31549022289514,59.47665841823575,26.17393005594703,63.131072172676596,30.50636659545357,65.74169207484904,73.17191158014808,33.58635363296579,69.26752258488644,V,W,W,Y,V,0,E
58.25561853872996,66.4412031998898,87.93585965307895,45.09223767994259,34.925276712850206,32.209711407489536,33.68379430069123,48.45796581171792,56.823039496332875,55.53381598660038,66.54366498072048,50.26003783755814,79.07068154314634,44.70686333524088,104.40338333179238,X,Y,V,Z,W,0,D
